Colony,Date,Alive/Dead,ROI,Area,Mean,Min,Max,Total Area,Dead Area,% Live Tissue
,,Dead,42,1702,114.86,57,189,,,
,,Dead,43,19516,104.565,41,204,,,
235,2016-09-21,Alive,1,1752960,94.434,8,248,1750114,306909,0.824634852
,,No count,2,2846,185.478,44,248,,,
,,Dead,3,11676,93.13,18,209,,,
,,Dead,4,18230,113.474,15,224,,,
,,Dead,5,775,110.51,28,167,,,
,,Dead,6,1832,80.693,20,187,,,
,,Dead,7,9166,105.465,20,209,,,
,,Dead,8,2764,115.085,21,212,,,
,,Dead,9,422,126.611,28,196,,,
,,Dead,10,7397,124.694,25,215,,,
,,Dead,11,11787,142.088,38,213,,,
,,Dead,12,1239,165.806,49,215,,,
,,Dead,13,1357,126.711,45,208,,,
,,Dead,14,13970,143.194,34,214,,,
,,Dead,15,6627,152.438,44,222,,,
,,Dead,16,11022,132.396,40,213,,,
,,Dead,17,10159,137.306,41,217,,,
,,Dead,18,16547,140.775,33,230,,,
,,Dead,19,2546,132.65,34,197,,,
,,Dead,20,5007,131.776,34,211,,,
,,Dead,21,9730,157.192,45,216,,,
,,Dead,22,19579,155.455,32,227,,,
,,Dead,23,680,114.26,30,184,,,
,,Dead,24,1075,129.701,47,196,,,
,,Dead,25,1760,145.714,42,233,,,
,,Dead,26,8290,131.366,33,222,,,
,,Dead,27,1556,129.267,34,207,,,
,,Dead,28,15809,130.392,29,236,,,
,,Dead,29,10336,134.29,37,229,,,
,,Dead,30,1066,105.583,36,182,,,
,,Dead,31,6932,85.331,13,218,,,
,,Dead,32,1746,78.254,20,190,,,
,,Dead,33,2223,83.841,23,153,,,
,,Dead,34,1012,68.358,26,137,,,
,,Dead,35,1114,119.615,29,198,,,
,,Dead,36,18541,101.36,17,214,,,
,,Dead,37,4678,111.237,29,216,,,
,,Dead,38,1245,82.112,20,190,,,
,,Dead,39,425,154.242,43,209,,,
,,Dead,40,17317,144.934,39,223,,,
,,Dead,41,8482,117.181,27,206,,,
,,Dead,42,9069,146.087,34,215,,,
,,Dead,43,12724,127.566,23,225,,,
,,Dead,44,682,118.811,54,173,,,
,,Dead,45,2371,132.531,33,214,,,
,,Dead,46,1483,116.147,28,182,,,
,,Dead,47,2017,135.584,34,227,,,
,,Dead,48,4650,107.883,24,210,,,
,,Dead,49,995,79.772,35,178,,,
,,Dead,50,3637,110.014,29,198,,,
,,Dead,51,1369,84.972,25,167,,,
,,Dead,52,763,69.123,21,165,,,
,,Dead,53,1030,78.444,20,189,,,
235,2017-05-18,Alive,1,1209613,89.136,30,255,1158131,44631,0.961462909
,,No count,2,1526,137.543,56,206,,,
,,No count,3,49956,136.592,48,255,,,
,,Dead,4,2606,119.723,60,181,,,
,,Dead,5,1438,156.615,72,214,,,
,,Dead,6,651,120.794,77,186,,,
,,Dead,7,1062,158.147,67,205,,,
,,Dead,8,3470,101.465,48,204,,,
,,Dead,9,264,137.424,55,198,,,
,,Dead,10,3257,97.277,43,215,,,
,,Dead,11,6888,105.402,44,194,,,
,,Dead,12,3828,125.651,48,207,,,
,,Dead,13,833,99.053,43,203,,,
,,Dead,14,141,99.142,58,166,,,
,,Dead,15,175,95.046,57,145,,,
,,Dead,16,13157,168.656,77,227,,,
,,Dead,17,6861,166.926,72,239,,,
235,2022-03-09,Alive,1,1174035,80.632,0,255,1126344,0,1
,,No count,2,14532,185.852,23,255,,,
,,No count,3,33159,151.66,7,255,,,
235,2022-09-01,Alive,1,481242,92.845,11,255,450507,0,1
,,No count,2,19639,143.442,22,255,,,
,,No count,3,7865,208.616,32,255,,,
,,No count,4,3231,97.391,14,249,,,
241,2015-12-14,Alive,1,1015864,97.307,29,240,1009181,481595,0.522786299
,,No count,2,5184,140.101,59,240,,,
,,No count,3,1499,128.172,42,211,,,
,,Dead,4,18479,102.482,40,177,,,
,,Dead,5,1092,81.575,48,117,,,
,,Dead,6,21486,97.089,37,188,,,
,,Dead,7,685,87.908,43,133,,,
,,Dead,8,3758,73.125,34,136,,,
,,Dead,9,11859,102.204,35,191,,,
,,Dead,10,5177,93.92,36,168,,,
,,Dead,11,19866,93.194,36,196,,,
,,Dead,12,5743,108.908,44,183,,,
,,Dead,13,2499,111.756,48,170,,,
,,Dead,14,1109,113.902,53,162,,,
,,Dead,15,7477,107.833,49,187,,,
,,Dead,16,33756,115.71,47,202,,,
,,Dead,17,11643,110.412,44,222,,,
,,Dead,18,14062,110.954,45,214,,,
,,Dead,19,9210,124.851,53,218,,,
,,Dead,20,18662,112.54,40,223,,,
,,Dead,21,9246,95.813,33,184,,,
,,Dead,22,6557,120.907,48,201,,,
,,Dead,23,643,124.818,50,193,,,
,,Dead,24,17282,97.707,35,194,,,
,,Dead,25,6651,84.472,32,168,,,
,,Dead,26,2896,97.221,42,160,,,
,,Dead,27,2667,89.985,36,175,,,
,,Dead,28,1354,82.09,39,131,,,
,,Dead,29,496,70.611,41,114,,,
,,Dead,30,6221,91.272,40,146,,,
,,Dead,31,218,106.899,55,137,,,
,,Dead,32,582,80.967,49,109,,,
,,Dead,33,1830,81.752,45,120,,,
,,Dead,34,3722,93.713,39,165,,,
,,Dead,35,24457,99.111,39,187,,,
,,Dead,36,6966,84.224,37,187,,,
,,Dead,37,5155,82.654,36,154,,,
,,Dead,38,6476,122.397,49,220,,,
,,Dead,39,1743,80.473,42,153,,,
,,Dead,40,6482,103.938,44,178,,,
,,Dead,41,1445,72.527,37,132,,,
,,Dead,42,4912,137.37,63,221,,,
,,Dead,43,7891,113.62,53,203,,,
,,Dead,44,6316,109.987,57,194,,,
,,Dead,45,385,127.325,73,187,,,
,,Dead,46,6029,110.788,58,184,,,
,,Dead,47,2825,95.807,54,152,,,
,,Dead,48,293,140.188,87,175,,,
,,Dead,49,9438,134.359,68,236,,,
,,Dead,50,2521,108.427,64,182,,,
,,Dead,51,5093,101.296,58,177,,,
,,Dead,52,1568,129.676,68,179,,,
,,Dead,53,722,123.112,68,175,,,
,,Dead,54,6096,88.216,51,171,,,
,,Dead,55,3028,103.598,52,193,,,
,,Dead,56,2521,94.41,53,161,,,
,,Dead,57,1019,90.562,52,176,,,
,,Dead,58,1647,78.886,42,156,,,
,,Dead,59,29426,92.15,37,188,,,
,,Dead,60,1728,120.639,62,183,,,
,,Dead,61,7420,93.865,48,154,,,
,,Dead,62,4889,108.111,56,177,,,
,,Dead,63,11141,108.602,43,226,,,
,,Dead,64,6078,124.648,61,225,,,
,,Dead,65,4639,107.605,59,164,,,
,,Dead,66,5379,84.28,49,137,,,
,,Dead,67,794,103.96,57,163,,,
,,Dead,68,5536,120.329,60,225,,,
,,Dead,69,11590,103.229,52,174,,,
,,Dead,70,7331,112.09,58,186,,,
,,Dead,71,295,98.695,62,128,,,
,,Dead,72,2892,120.393,67,190,,,
,,Dead,73,10211,104.559,50,208,,,
,,Dead,74,1106,97.562,63,144,,,
,,Dead,75,1782,97.447,60,147,,,
,,Dead,76,4088,108.249,58,180,,,
,,Dead,77,1083,103.857,55,157,,,
,,Dead,78,1029,95.399,54,167,,,
,,Dead,79,1202,80.58,49,103,,,
241,2016-02-04,Alive,1,2133073,103.772,25,255,2121445,917320,0.567596615
,,No count,2,10946,180.2,87,255,,,
,,No count,3,682,120.952,58,244,,,
,,Dead,4,1755,111.903,44,156,,,
,,Dead,5,36884,91.678,37,187,,,
,,Dead,6,7415,96.009,34,191,,,
,,Dead,7,20777,115.599,45,231,,,
,,Dead,8,21897,100.548,39,194,,,
,,Dead,9,552,118.96,63,153,,,
,,Dead,10,20835,143.417,50,255,,,
,,Dead,11,1811,162.176,84,238,,,
,,Dead,12,28330,151.033,60,251,,,
,,Dead,13,72367,127.709,42,244,,,
,,Dead,14,141065,119.408,32,228,,,
,,Dead,15,9921,130.286,64,193,,,
,,Dead,16,1139,135.273,77,182,,,
,,Dead,17,1489,162.932,98,206,,,
,,Dead,18,54000,97.362,45,163,,,
,,Dead,19,15493,94.385,47,149,,,
,,Dead,20,86536,111.973,46,213,,,
,,Dead,21,34372,86.676,34,178,,,
,,Dead,22,6942,96.046,44,146,,,
,,Dead,23,49948,125.717,36,255,,,
,,Dead,24,47215,103.654,34,219,,,
,,Dead,25,10474,79.675,36,172,,,
,,Dead,26,33916,111.757,39,226,,,
,,Dead,27,36926,104.761,39,224,,,
,,Dead,28,4633,115.808,48,206,,,
,,Dead,29,9031,97.88,39,168,,,
,,Dead,30,22287,129.665,51,248,,,
,,Dead,31,21209,146.53,65,216,,,
,,Dead,32,2301,124.277,51,194,,,
,,Dead,33,9500,100.26,42,179,,,
,,Dead,34,19564,140.691,50,236,,,
,,Dead,35,1280,132.738,75,191,,,
,,Dead,36,2119,163.488,88,213,,,
,,Dead,37,12496,167.041,84,244,,,
,,Dead,38,5156,157.677,81,222,,,
,,Dead,39,3817,161.83,68,232,,,
,,Dead,40,7605,135.105,50,230,,,
,,Dead,41,2036,164.653,75,218,,,
,,Dead,42,13568,122.821,49,206,,,
,,Dead,43,15019,130.42,51,224,,,
,,Dead,44,5369,144.46,69,213,,,
,,Dead,45,365,123.247,65,154,,,
,,Dead,46,4162,133.916,77,200,,,
,,Dead,47,2052,158.297,80,229,,,
,,Dead,48,7251,142.507,71,224,,,
,,Dead,49,742,182.957,85,227,,,
,,Dead,50,810,144.285,82,203,,,
,,Dead,51,900,174.152,83,226,,,
,,Dead,52,1307,139.184,70,211,,,
241,2016-03-24,Alive,1,1523976,93.426,1,255,1521524,266144,0.825080643
,,No count,2,2452,131.604,23,255,,,
,,Dead,3,4658,61.618,8,140,,,
,,Dead,4,5008,130.155,32,228,,,
,,Dead,5,1074,131.055,37,206,,,
,,Dead,6,326,105.699,36,194,,,
,,Dead,7,1033,91.566,27,169,,,
,,Dead,8,741,74.735,22,139,,,
,,Dead,9,939,129.905,29,231,,,
,,Dead,10,10193,132.39,23,250,,,
,,Dead,11,15917,123.892,27,248,,,
,,Dead,12,562,166.368,68,240,,,
,,Dead,13,11217,130.494,31,255,,,
,,Dead,14,2323,172.112,49,255,,,
,,Dead,15,7236,141.441,38,251,,,
,,Dead,16,15386,128.066,19,251,,,
,,Dead,17,8453,132.268,27,241,,,
,,Dead,18,226,163.748,74,213,,,
,,Dead,19,6055,146.818,38,233,,,
,,Dead,20,6424,118.231,21,235,,,
,,Dead,21,1604,104.348,31,208,,,
,,Dead,22,3027,100.827,24,183,,,
,,Dead,23,420,97.971,56,149,,,
,,Dead,24,591,144.535,52,214,,,
,,Dead,25,1095,93.46,35,175,,,
,,Dead,26,6519,110.22,26,237,,,
,,Dead,27,979,94.934,40,150,,,
,,Dead,28,2109,94.963,40,160,,,
,,Dead,29,4991,128.869,42,223,,,
,,Dead,30,10646,107.964,36,187,,,
,,Dead,31,1510,86.978,27,156,,,
,,Dead,32,4325,83.626,33,163,,,
,,Dead,33,1401,144.323,40,216,,,
,,Dead,34,2315,146.41,40,241,,,
,,Dead,35,3373,134.017,36,227,,,
,,Dead,36,4686,107.989,31,233,,,
,,Dead,37,5008,115.028,32,199,,,
,,Dead,38,2327,138.102,48,226,,,
,,Dead,39,4050,121.369,34,227,,,
,,Dead,40,1562,125.43,29,195,,,
,,Dead,41,29276,125.168,26,253,,,
,,Dead,42,1880,149.357,53,222,,,
,,Dead,43,2636,148.489,59,221,,,
,,Dead,44,2702,148.466,51,217,,,
,,Dead,45,13380,133.331,35,253,,,
,,Dead,46,33178,149.587,47,254,,,
,,Dead,47,7096,148.739,50,226,,,
,,Dead,48,7461,133.554,53,216,,,
,,Dead,49,8226,122.007,36,221,,,
241,2016-05-26,Alive,1,1695858,104.53,23,255,1673127,455981,0.727467789
,,No count,2,2855,169.579,56,254,,,
,,No count,3,19876,131.122,52,255,,,
,,Dead,4,867,105.61,56,178,,,
,,Dead,5,5290,122.674,59,212,,,
,,Dead,6,1535,119.598,60,171,,,
,,Dead,7,2515,98.135,63,131,,,
,,Dead,8,1679,118.521,61,161,,,
,,Dead,9,2613,94.572,47,208,,,
,,Dead,10,805,137.765,81,218,,,
,,Dead,11,37032,102.684,40,212,,,
,,Dead,12,7663,121.355,46,213,,,
,,Dead,13,3169,118.889,52,185,,,
,,Dead,14,382,138.317,98,196,,,
,,Dead,15,2027,113.543,56,190,,,
,,Dead,16,49567,108.519,42,202,,,
,,Dead,17,15233,109.554,43,212,,,
,,Dead,18,776,131.671,81,201,,,
,,Dead,19,15999,112.67,39,205,,,
,,Dead,20,38955,102.207,38,228,,,
,,Dead,21,3463,116.512,38,212,,,
,,Dead,22,325,112.262,56,181,,,
,,Dead,23,5645,110.016,49,208,,,
,,Dead,24,608,108.755,59,179,,,
,,Dead,25,440,104.32,53,178,,,
,,Dead,26,5089,120.636,44,220,,,
,,Dead,27,6812,110.435,48,217,,,
,,Dead,28,2260,109.141,59,188,,,
,,Dead,29,310,136.465,90,177,,,
,,Dead,30,1448,121.573,60,202,,,
,,Dead,31,1082,121.127,63,182,,,
,,Dead,32,3210,110.585,65,194,,,
,,Dead,33,669,121.317,63,175,,,
,,Dead,34,17933,116.696,57,207,,,
,,Dead,35,3186,110.692,63,210,,,
,,Dead,36,1803,109.672,54,202,,,
,,Dead,37,5002,115.451,58,212,,,
,,Dead,38,1412,110.625,56,195,,,
,,Dead,39,12409,124.293,47,222,,,
,,Dead,40,1690,120.221,51,211,,,
,,Dead,41,6693,113.394,46,191,,,
,,Dead,42,15859,103.483,46,209,,,
,,Dead,43,67278,105.155,40,215,,,
,,Dead,44,11029,81.527,34,217,,,
,,Dead,45,2870,111.395,53,201,,,
,,Dead,46,18806,111.498,54,191,,,
,,Dead,47,1928,119.002,60,187,,,
,,Dead,48,3801,115.247,62,185,,,
,,Dead,49,10152,117.602,64,194,,,
,,Dead,50,1490,118.274,58,190,,,
,,Dead,51,4389,116.512,62,184,,,
,,Dead,52,7006,118.85,68,187,,,
,,Dead,53,26571,104.209,45,214,,,
,,Dead,54,1210,118.593,64,192,,,
,,Dead,55,2846,104.272,39,212,,,
,,Dead,56,10163,114.099,38,209,,,
,,Dead,57,336,115.497,74,158,,,
,,Dead,58,2651,115.115,55,193,,,
241,2016-09-20,Alive,1,2767678,100.126,0,253,2764851,942496,0.659115084
,,No count,2,2827,145.976,30,246,,,
,,Dead,3,92562,82.296,0,209,,,
,,Dead,4,36352,58.835,2,163,,,
,,Dead,5,2168,84.756,8,170,,,
,,Dead,6,827,88.254,19,148,,,
,,Dead,7,3315,106.255,2,190,,,
,,Dead,8,544,105.257,9,168,,,
,,Dead,9,35652,120.293,1,236,,,
,,Dead,10,5240,125.032,19,220,,,
,,Dead,11,20299,110.629,3,231,,,
,,Dead,12,33224,121.95,8,226,,,
,,Dead,13,47618,112.922,1,241,,,
,,Dead,14,13325,108.031,6,210,,,
,,Dead,15,458,129.664,62,179,,,
,,Dead,16,9131,113.699,0,219,,,
,,Dead,17,1203,137.135,26,186,,,
,,Dead,18,3030,117.238,13,215,,,
,,Dead,19,2993,105.481,18,195,,,
,,Dead,20,5292,90.054,5,210,,,
,,Dead,21,2055,140.882,9,237,,,
,,Dead,22,602,121.852,32,186,,,
,,Dead,23,11967,118.277,1,230,,,
,,Dead,24,23648,130.325,2,239,,,
,,Dead,25,351,103.322,67,141,,,
,,Dead,26,1061,113.627,28,186,,,
,,Dead,27,18993,103.648,5,229,,,
,,Dead,28,19680,81.621,2,202,,,
,,Dead,29,1823,73.251,16,152,,,
,,Dead,30,25993,61.151,1,189,,,
,,Dead,31,3694,66.665,6,136,,,
,,Dead,32,1083,41.512,7,125,,,
,,Dead,33,43578,86.582,1,194,,,
,,Dead,34,1399,50.879,6,124,,,
,,Dead,35,88945,85.099,1,206,,,
,,Dead,36,6018,36.366,3,171,,,
,,Dead,37,1633,29.506,3,139,,,
,,Dead,38,19860,40.541,0,182,,,
,,Dead,39,58125,103.817,0,248,,,
,,Dead,40,230,130.987,63,178,,,
,,Dead,41,127,108.268,46,222,,,
,,Dead,42,318,125.991,38,196,,,
,,Dead,43,318,125.991,38,196,,,
,,Dead,44,420,112.238,17,209,,,
,,Dead,45,11302,131.743,8,248,,,
,,Dead,46,3482,131.148,5,239,,,
,,Dead,47,1150,121.212,20,222,,,
,,Dead,48,5316,157.65,31,226,,,
,,Dead,49,31750,144.444,17,246,,,
,,Dead,50,2670,141.815,49,227,,,
,,Dead,51,7041,143.769,24,238,,,
,,Dead,52,947,156.747,25,237,,,
,,Dead,53,3296,136.45,7,239,,,
,,Dead,54,2311,148.356,8,231,,,
,,Dead,55,3458,116.822,3,229,,,
,,Dead,56,72154,93.067,0,226,,,
,,Dead,57,20415,89.561,0,194,,,
,,Dead,58,62548,96.856,0,210,,,
,,Dead,59,9273,113.393,14,184,,,
,,Dead,60,824,126.53,22,178,,,
,,Dead,61,1567,139.571,16,236,,,
,,Dead,62,785,123.215,28,191,,,
,,Dead,63,1767,108.14,21,202,,,
,,Dead,64,22519,118.819,10,235,,,
,,Dead,65,6766,114.634,6,210,,,
,,Dead,66,744,133.407,13,209,,,
,,Dead,67,10464,106.026,2,216,,,
,,Dead,68,4510,115.518,9,226,,,
,,Dead,69,3868,119.274,33,214,,,
,,Dead,70,747,119.423,43,217,,,
,,Dead,71,5668,104.076,15,214,,,
241,2017-05-18,Alive,1,1400744,73.975,5,240,1398916,82686,0.940892806
,,No count,2,1828,67.194,35,169,,,
,,Dead,3,3949,114.688,36,199,,,
,,Dead,4,5528,115.191,29,217,,,
,,Dead,5,1979,112.06,26,201,,,
,,Dead,6,1800,97.783,27,224,,,
,,Dead,7,291,149.756,43,210,,,
,,Dead,8,1089,89.306,24,178,,,
,,Dead,9,864,107.3,41,182,,,
,,Dead,10,2698,83.439,33,195,,,
,,Dead,11,164,133.561,81,196,,,
,,Dead,12,1186,114.504,40,205,,,
,,Dead,13,440,89.841,27,203,,,
,,Dead,14,1755,90.68,20,205,,,
,,Dead,15,134,109.933,53,163,,,
,,Dead,16,4115,122.616,36,239,,,
,,Dead,17,4953,118.301,46,200,,,
,,Dead,18,1554,105.731,38,194,,,
,,Dead,19,25001,126.369,35,230,,,
,,Dead,20,931,125.001,39,227,,,
,,Dead,21,17317,131.883,30,234,,,
,,Dead,22,2477,91.041,29,231,,,
,,Dead,23,2446,116.268,28,225,,,
,,Dead,24,714,98.808,34,190,,,
,,Dead,25,1301,113.64,29,226,,,
241,2017-11-08,Alive,1,2074136,75.45,0,255,2032705,154055,0.924211826
,,No count,2,1703,202.424,56,255,,,
,,No count,3,38460,141.091,22,255,,,
,,No count,4,1268,68.979,15,159,,,
,,Dead,5,295,64.088,30,106,,,
,,Dead,6,893,57.264,21,109,,,
,,Dead,7,428,56.1,25,98,,,
,,Dead,8,314,63.739,27,95,,,
,,Dead,9,467,43.263,23,109,,,
,,Dead,10,1050,75.402,8,150,,,
,,Dead,11,1806,57.976,11,172,,,
,,Dead,12,328,63.482,30,96,,,
,,Dead,13,440,58.514,23,112,,,
,,Dead,14,2476,50.622,15,173,,,
,,Dead,15,2398,47.133,10,186,,,
,,Dead,16,3194,58.456,3,176,,,
,,Dead,17,2520,70.796,20,176,,,
,,Dead,18,7159,63.402,15,157,,,
,,Dead,19,1091,61.057,24,147,,,
,,Dead,20,10992,66.774,2,181,,,
,,Dead,21,2733,97.448,12,185,,,
,,Dead,22,2632,71.523,16,194,,,
,,Dead,23,267,58.768,31,88,,,
,,Dead,24,216,95.574,45,133,,,
,,Dead,25,1390,125.852,25,222,,,
,,Dead,26,2583,60.077,22,173,,,
,,Dead,27,169,87.166,54,159,,,
,,Dead,28,1734,51.932,18,148,,,
,,Dead,29,918,65.426,9,197,,,
,,Dead,30,5311,72.597,13,169,,,
,,Dead,31,15895,86.268,18,183,,,
,,Dead,32,15658,92.884,28,163,,,
,,Dead,33,2573,89.501,29,155,,,
,,Dead,34,2061,78.752,37,154,,,
,,Dead,35,2367,50.669,28,142,,,
,,Dead,36,2249,54.353,22,158,,,
,,Dead,37,1112,61.719,28,157,,,
,,Dead,38,572,73.271,28,128,,,
,,Dead,39,19969,109.035,19,203,,,
,,Dead,40,635,111.781,34,160,,,
,,Dead,41,497,86.336,31,125,,,
,,Dead,42,22860,103.048,32,186,,,
,,Dead,43,3103,106.544,30,175,,,
,,Dead,44,7197,97.667,36,181,,,
,,Dead,45,1157,87.907,21,166,,,
,,Dead,46,1007,81.964,24,170,,,
,,Dead,47,423,66.201,27,167,,,
,,Dead,48,916,84.548,20,163,,,
241,2019-06-20,Alive,1,2280421,61.483,1,228,2258402,48175,0.978668545
,,No count,2,6421,42.355,6,150,,,
,,No count,3,2096,119.039,5,228,,,
,,No count,4,1191,43.067,19,129,,,
,,No count,5,3631,38.401,8,142,,,
,,No count,6,1473,31.088,17,75,,,
,,No count,7,5134,38.507,13,153,,,
,,No count,8,2073,38.396,18,125,,,
,,Dead,9,1144,52.596,17,160,,,
,,Dead,10,26737,57.083,3,181,,,
,,Dead,11,2097,59.944,17,136,,,
,,Dead,12,1345,43.532,12,119,,,
,,Dead,13,507,63.312,13,135,,,
,,Dead,14,625,72.509,18,155,,,
,,Dead,15,1568,67.589,24,140,,,
,,Dead,16,1238,106.213,12,183,,,
,,Dead,17,8437,75.315,25,150,,,
,,Dead,18,1421,38.892,6,135,,,
,,Dead,19,1955,38.858,7,147,,,
,,Dead,20,1101,27.985,14,71,,,
241,2022-09-01,Alive,1,599739,107.399,14,255,574258,21061,0.963324847
,,No count,2,2859,218.94,96,255,,,
,,No count,3,16536,172.335,48,254,,,
,,No count,4,6086,80.109,37,211,,,
,,Dead,5,243,102.016,49,157,,,
,,Dead,6,1258,100.411,41,195,,,
,,Dead,7,240,79.942,38,156,,,
,,Dead,8,507,85.191,44,222,,,
,,Dead,9,959,82.294,36,205,,,
,,Dead,10,985,80.687,36,216,,,
,,Dead,11,125,73.216,44,159,,,
,,Dead,12,143,96.713,51,151,,,
,,Dead,13,123,82.545,41,151,,,
,,Dead,14,377,91.286,35,186,,,
,,Dead,15,273,58.7,41,115,,,
,,Dead,16,1360,93.755,33,218,,,
,,Dead,17,1086,77.541,31,180,,,
,,Dead,18,434,108.505,40,207,,,
,,Dead,19,133,88.534,45,179,,,
,,Dead,20,649,118.68,42,229,,,
,,Dead,21,415,79.494,45,198,,,
,,Dead,22,56,91.661,47,180,,,
,,Dead,23,304,113.174,51,197,,,
,,Dead,24,211,97.768,35,187,,,
,,Dead,25,196,85.434,48,180,,,
,,Dead,26,584,100.502,37,218,,,
,,Dead,27,1935,65.876,27,173,,,
,,Dead,28,292,107.24,44,177,,,
,,Dead,29,311,73.016,38,178,,,
,,Dead,30,192,86.042,45,171,,,
,,Dead,31,1371,73.283,27,182,,,
,,Dead,32,831,62.882,29,177,,,
,,Dead,33,4092,85.272,31,234,,,
,,Dead,34,762,72.51,32,176,,,
,,Dead,35,243,81.115,39,166,,,
,,Dead,36,371,99.477,44,196,,,
243,2015-12-14,Alive,1,1781004,81.707,18,249,1744376,494597,0.716461933
,,No count,2,4623,127.185,49,201,,,
,,No count,3,31066,161.797,52,249,,,
,,No count,4,939,101.568,38,141,,,
,,Dead,5,34742,79.801,27,217,,,
,,Dead,6,21282,82.406,29,187,,,
,,Dead,7,50281,70.173,24,222,,,
,,Dead,8,17615,78.849,29,146,,,
,,Dead,9,31666,60.07,26,125,,,
,,Dead,10,7282,89.534,33,169,,,
,,Dead,11,8311,102.654,36,161,,,
,,Dead,12,14289,93.998,32,209,,,
,,Dead,13,33751,82.358,30,164,,,
,,Dead,14,2523,104.003,40,159,,,
,,Dead,15,3762,116.567,49,183,,,
,,Dead,16,879,105.893,63,160,,,
,,Dead,17,3861,97.558,42,162,,,
,,Dead,18,1965,111.291,56,158,,,
,,Dead,19,2012,130.675,59,205,,,
,,Dead,20,13244,106.655,43,194,,,
,,Dead,21,13139,94.826,36,171,,,
,,Dead,22,5672,97.368,39,162,,,
,,Dead,23,64385,99.175,30,216,,,
,,Dead,24,39357,88.756,32,178,,,
,,Dead,25,4778,85.126,30,144,,,
,,Dead,26,11564,67.715,24,114,,,
,,Dead,27,10036,77.98,30,141,,,
,,Dead,28,32934,83.836,31,167,,,
,,Dead,29,5324,97.541,47,160,,,
,,Dead,30,7335,83.49,30,126,,,
,,Dead,31,3520,76.901,34,136,,,
,,Dead,32,8808,80.604,29,146,,,
,,Dead,33,11891,78.185,30,157,,,
,,Dead,34,25213,82.889,28,170,,,
,,Dead,35,819,104.341,56,170,,,
,,Dead,36,662,114.156,57,152,,,
,,Dead,37,922,106.368,50,138,,,
,,Dead,38,773,102.039,39,140,,,
243,2016-02-04,Alive,1,985409,120.28,38,255,975336,554541,0.431435936
,,No count,2,1989,209.775,103,255,,,
,,No count,3,8084,189.406,92,255,,,
,,Dead,4,23646,132.098,68,211,,,
,,Dead,5,14997,128.205,66,204,,,
,,Dead,6,15633,121.533,60,210,,,
,,Dead,7,2052,111.93,60,194,,,
,,Dead,8,877,125.25,61,172,,,
,,Dead,9,3007,125.939,58,195,,,
,,Dead,10,416,119.37,82,165,,,
,,Dead,11,4737,119.286,52,174,,,
,,Dead,12,16197,117.892,52,199,,,
,,Dead,13,23298,111.875,45,191,,,
,,Dead,14,26019,113.828,47,171,,,
,,Dead,15,18209,124.858,54,181,,,
,,Dead,16,14089,121.855,61,183,,,
,,Dead,17,1395,121.175,75,158,,,
,,Dead,18,30242,134.431,70,205,,,
,,Dead,19,14295,114.292,53,205,,,
,,Dead,20,53335,126.833,55,211,,,
,,Dead,21,7090,120.476,54,181,,,
,,Dead,22,39656,136.703,64,211,,,
,,Dead,23,46792,130.012,66,210,,,
,,Dead,24,1996,126.775,66,173,,,
,,Dead,25,874,139.673,75,172,,,
,,Dead,26,748,156.926,77,195,,,
,,Dead,27,1267,139.856,91,182,,,
,,Dead,28,2758,145.063,81,215,,,
,,Dead,29,1851,124.239,65,183,,,
,,Dead,30,1052,141.368,84,208,,,
,,Dead,31,14283,129.683,67,207,,,
,,Dead,32,18570,123.358,70,195,,,
,,Dead,33,36672,132.968,71,212,,,
,,Dead,34,37438,127.863,64,212,,,
,,Dead,35,38379,132.092,62,243,,,
,,Dead,36,35566,126.25,61,211,,,
,,Dead,37,2181,124.3,57,206,,,
,,Dead,38,397,151.453,72,196,,,
,,Dead,39,586,144.805,62,220,,,
,,Dead,40,2945,136.906,74,187,,,
,,Dead,41,996,127.552,70,192,,,
243,2016-05-26,Alive,1,1107760,129.411,33,255,1083962,531741,0.509446826
,,No count,2,2265,199.768,81,255,,,
,,No count,3,21533,161.551,71,255,,,
,,Dead,4,35292,127.874,40,230,,,
,,Dead,5,6397,122.173,58,226,,,
,,Dead,6,1148,110.033,62,189,,,
,,Dead,7,29777,132.005,45,243,,,
,,Dead,8,39624,130.499,38,240,,,
,,Dead,9,63402,135.705,46,248,,,
,,Dead,10,43108,132.861,41,245,,,
,,Dead,11,53562,129.905,44,241,,,
,,Dead,12,24746,120.116,42,222,,,
,,Dead,13,55197,137.618,50,243,,,
,,Dead,14,26106,135.303,40,240,,,
,,Dead,15,2134,104.12,47,212,,,
,,Dead,16,17490,119.423,40,246,,,
,,Dead,17,837,149.573,60,230,,,
,,Dead,18,1974,138.192,49,227,,,
,,Dead,19,629,109.107,48,191,,,
,,Dead,20,53854,141.221,49,245,,,
,,Dead,21,14124,135.21,59,242,,,
,,Dead,22,17041,145.903,53,245,,,
,,Dead,23,16668,140.424,56,228,,,
,,Dead,24,15267,146.518,60,236,,,
,,Dead,25,1781,160.832,86,211,,,
,,Dead,26,10901,148.121,61,237,,,
,,Dead,27,682,130.765,84,181,,,
243,2016-09-20,Alive,1,922476,72.796,0,255,920134,437769,0.524233427
,,No count,2,2342,177.114,31,255,,,
,,Dead,3,5018,40.629,1,124,,,
,,Dead,4,9082,29.966,0,110,,,
,,Dead,5,1376,39.876,4,104,,,
