Colony,Date,Alive/Dead,ROI,Area,Mean,Min,Max,Total Area,Dead Area,% Live Tissue
,,Dead,22,989,110.631,51,227,,,
,,Dead,23,1027,106.643,43,215,,,
,,Dead,24,1372,101.597,32,217,,,
,,No count,25,3282,227.289,117,255,,,
1,2017-06-08,Alive,1,1948414,100.264,3,254,1763017,75950,0.956920438
,,No count,2,997,93.146,35,189,,,
,,No count,3,184400,136.29,19,254,,,
,,Dead,4,14012,60.488,23,192,,,
,,Dead,5,496,69.611,34,170,,,
,,Dead,6,15578,96.481,38,222,,,
,,Dead,7,34581,102.772,46,234,,,
,,Dead,8,5240,57.04,23,150,,,
,,Dead,9,2968,89.101,34,180,,,
,,Dead,10,3075,42.579,26,145,,,
1,2017-11-08,Alive,1,1791532,89.988,0,255,1627518,66421,0.959188777
,,No count,2,7141,165.998,42,255,,,
,,No count,3,5445,203.46,61,254,,,
,,No count,4,151428,148.463,18,255,,,
,,Dead,5,10312,50.36,9,129,,,
,,Dead,6,7225,68.111,22,167,,,
,,Dead,7,25413,97.096,16,210,,,
,,Dead,8,5074,83.879,35,253,,,
,,Dead,9,8772,129.222,30,236,,,
,,Dead,10,2090,88.057,32,232,,,
,,Dead,11,910,106.691,26,192,,,
,,Dead,12,6625,67.413,18,169,,,
1,2019-06-20,Alive,1,1625056,81.228,0,255,1619937,223511,0.862024881
,,No count,2,5119,115.937,7,224,,,
,,Dead,3,7140,73.981,20,226,,,
,,Dead,4,3027,65.065,17,189,,,
,,Dead,5,4360,39.235,8,239,,,
,,Dead,6,2587,69.691,18,226,,,
,,Dead,7,3909,98.627,13,223,,,
,,Dead,8,8386,77.201,7,240,,,
,,Dead,9,2439,44.174,2,227,,,
,,Dead,10,201,56.851,26,106,,,
,,Dead,11,6149,60.478,19,223,,,
,,Dead,12,5962,60.226,3,227,,,
,,Dead,13,1546,70.473,12,203,,,
,,Dead,14,1272,56.365,13,216,,,
,,Dead,15,1907,51.453,21,201,,,
,,Dead,16,62827,61.193,3,220,,,
,,Dead,17,110970,68.54,7,245,,,
,,Dead,18,829,65.211,38,114,,,
1,2022-03-09,Alive,1,341090,86.684,0,255,333856,17711,0.946950182
,,No count,2,513,157.164,22,255,,,
,,No count,3,6721,173.483,20,255,,,
,,Dead,4,516,139.44,16,241,,,
,,Dead,5,673,61.866,3,243,,,
,,Dead,6,733,80.057,9,238,,,
,,Dead,7,166,110.711,20,237,,,
,,Dead,8,1737,84.217,7,236,,,
,,Dead,9,248,87.774,20,208,,,
,,Dead,10,3867,79.946,2,241,,,
,,Dead,11,490,90.735,15,231,,,
,,Dead,12,651,51.138,16,243,,,
,,Dead,13,61,118.623,3,224,,,
,,Dead,14,458,77.747,9,225,,,
,,Dead,15,109,91.468,29,191,,,
,,Dead,16,361,113.139,14,230,,,
,,Dead,17,2967,82.655,1,243,,,
,,Dead,18,410,43.998,14,171,,,
,,Dead,19,496,89.137,16,204,,,
,,Dead,20,178,84.556,27,213,,,
,,Dead,21,135,77.207,17,186,,,
,,Dead,22,112,116.455,27,222,,,
,,Dead,23,131,59.916,27,129,,,
,,Dead,24,349,49.957,19,125,,,
,,Dead,25,1108,87.216,14,214,,,
,,Dead,26,229,99.109,15,181,,,
,,Dead,27,80,59.913,23,131,,,
,,Dead,28,345,93.116,23,197,,,
,,Dead,29,487,97.156,26,167,,,
,,Dead,30,169,74.698,30,185,,,
,,Dead,31,341,114.352,25,207,,,
,,Dead,32,104,97.558,25,201,,,
1,2022-09-01,Alive,1,636826,89.025,4,252,636826,75722,0.881094679
,,Dead,2,6575,97.323,17,224,,,
,,Dead,3,17364,72.849,17,222,,,
,,Dead,4,1646,95.334,27,229,,,
,,Dead,5,5828,67.229,9,215,,,
,,Dead,6,3411,120.24,26,203,,,
,,Dead,7,647,80.09,22,172,,,
,,Dead,8,896,103.892,30,211,,,
,,Dead,9,11703,108.934,20,249,,,
,,Dead,10,498,129.534,52,221,,,
,,Dead,11,4246,111.69,36,243,,,
,,Dead,12,1030,109.944,45,226,,,
,,Dead,13,428,129.636,59,248,,,
,,Dead,14,1306,95.376,41,199,,,
,,Dead,15,8310,66.254,18,214,,,
,,Dead,16,2945,62.631,11,238,,,
,,Dead,17,3376,73.796,20,233,,,
,,Dead,18,606,115.314,41,209,,,
,,Dead,19,601,86.141,31,184,,,
,,Dead,20,2399,113.109,31,215,,,
,,Dead,21,709,112.574,36,206,,,
,,Dead,22,918,84.72,27,196,,,
,,Dead,23,280,88.896,49,151,,,
203,2015-10-29,Alive,1,323117,183.061,63,245,321562,4520,0.985943613
,,No count,2,1555,189.23,95,231,,,
,,Dead,3,1351,170.292,120,232,,,
,,Dead,4,1152,164.991,118,235,,,
,,Dead,5,2017,151.029,86,219,,,
203,2015-12-22,Alive,1,1713629,104.822,26,255,1666145,440317,0.735727083
,,No count,2,4474,140.665,33,246,,,
,,No count,3,42016,139.947,41,255,,,
,,No count,4,994,163.246,70,222,,,
,,Dead,5,20657,103.793,31,235,,,
,,Dead,6,1923,104.42,44,208,,,
,,Dead,7,4722,92.884,39,225,,,
,,Dead,8,6608,89.096,34,220,,,
,,Dead,9,9267,109.295,37,206,,,
,,Dead,10,879,118.205,46,198,,,
,,Dead,11,17423,139.593,42,238,,,
,,Dead,12,4474,111.899,33,179,,,
,,Dead,13,3416,93.241,30,195,,,
,,Dead,14,4290,134.166,36,193,,,
,,Dead,15,15263,91.541,30,227,,,
,,Dead,16,10565,100.045,37,227,,,
